name,id,external_id,attack_url,class,tactics,platforms,permissions,rule_id,rule_desc,rule_evidence,is_fallback
Process Injection,attack-pattern--43e7dc91-05b2-474c-b9ac-2ed4fe101f4d,T1055,https://attack.mitre.org/techniques/T1055,VMR,defense-evasion;privilege-escalation,Linux;macOS;Windows,,R6_VMR_NAME_PATTERN,name pattern indicates kernel/privileged execution mode,Process Injection,False
Traffic Signaling,attack-pattern--451a9977-d255-43c9-b431-66de80130c8c,T1205,https://attack.mitre.org/techniques/T1205,VMR,command-and-control;defense-evasion;persistence,Linux;macOS;Network Devices;Windows,,R8_DEFAULT_VMR,no explicit rule fired,,True
System Binary Proxy Execution,attack-pattern--457c7820-d331-465a-915e-42f85500ccc4,T1218,https://attack.mitre.org/techniques/T1218,VMR,defense-evasion,Windows;Linux;macOS,,R8_DEFAULT_VMR,no explicit rule fired,,True
Timestomp,attack-pattern--47f2d673-ca62-47e9-929b-1b0be9657611,T1070.006,https://attack.mitre.org/techniques/T1070/006,VMR,defense-evasion,ESXi;Linux;macOS;Windows,,R8_DEFAULT_VMR,no explicit rule fired,,True
Evil Twin,attack-pattern--48b836c6-e4ca-435a-82a3-29c03e5b492e,T1557.004,https://attack.mitre.org/techniques/T1557/004,VMR,collection;credential-access,Network Devices,,R8_DEFAULT_VMR,no explicit rule fired,,True
Reflective Code Loading,attack-pattern--4933e63b-9b77-476e-ab29-761bc5b7d15a,T1620,https://attack.mitre.org/techniques/T1620,VMR,defense-evasion,Linux;macOS;Windows,,R8_DEFAULT_VMR,no explicit rule fired,,True
Wi-Fi Discovery,attack-pattern--494ab9f0-36e0-4b06-b10d-57285b040a06,T1016.002,https://attack.mitre.org/techniques/T1016/002,VMR,discovery,Linux;Windows;macOS,,R8_DEFAULT_VMR,no explicit rule fired,,True
Mutual Exclusion,attack-pattern--49fca0d2-685d-41eb-8bd4-05451cc3a742,T1480.002,https://attack.mitre.org/techniques/T1480/002,VMR,defense-evasion,Linux;macOS;Windows,,R8_DEFAULT_VMR,no explicit rule fired,,True
Ignore Process Interrupts,attack-pattern--4a2975db-414e-4c0c-bd92-775987514b4b,T1564.011,https://attack.mitre.org/techniques/T1564/011,VMR,defense-evasion,Linux;macOS;Windows,,R8_DEFAULT_VMR,no explicit rule fired,,True
Escape to Host,attack-pattern--4a5b7ade-8bb5-4853-84ed-23f262002665,T1611,https://attack.mitre.org/techniques/T1611,VMR,privilege-escalation,Windows;Linux;Containers;ESXi,,R8_DEFAULT_VMR,no explicit rule fired,,True
Backup Software Discovery,attack-pattern--4a6cfdae-1417-40c7-a84e-f59d21c58266,T1518.002,https://attack.mitre.org/techniques/T1518/002,VMR,discovery,Windows;macOS;Linux,,R8_DEFAULT_VMR,no explicit rule fired,,True
Shortcut Modification,attack-pattern--4ab929c6-ee2d-4fb5-aab4-b14be2ed7179,T1547.009,https://attack.mitre.org/techniques/T1547/009,VMR,persistence;privilege-escalation,Windows,,R4_VMR_KERNEL_BOOT,kernel/boot/firmware interaction pattern,Shortcut Modification,False
Application Window Discovery,attack-pattern--4ae4f953-fe58-4cc8-a327-33257e30a830,T1010,https://attack.mitre.org/techniques/T1010,VMR,discovery,Linux;Windows;macOS,,R8_DEFAULT_VMR,no explicit rule fired,,True
Email Account,attack-pattern--4bc31b94-045b-4752-8920-aebaebdb6470,T1087.003,https://attack.mitre.org/techniques/T1087/003,VMR,discovery,Windows;Office Suite,,R8_DEFAULT_VMR,no explicit rule fired,,True
Time Based Checks,attack-pattern--4bed873f-0b7d-41d4-b93a-b6905d1f90b0,T1497.003,https://attack.mitre.org/techniques/T1497/003,VMR,defense-evasion;discovery,Linux;macOS;Windows,,R8_DEFAULT_VMR,no explicit rule fired,,True
CMSTP,attack-pattern--4cbc6a62-9e34-4f94-8a19-5c1a11392a49,T1218.003,https://attack.mitre.org/techniques/T1218/003,VMR,defense-evasion,Windows,,R8_DEFAULT_VMR,no explicit rule fired,,True
Disable Windows Event Logging,attack-pattern--4eb28bed-d11a-4641-9863-c2ac017d910a,T1562.002,https://attack.mitre.org/techniques/T1562/002,VMR,defense-evasion,Windows,,R8_DEFAULT_VMR,no explicit rule fired,,True
