intrusion_set_id,feature_count,nearest_neighbor_id,nearest_distance,confused
intrusion-set--f40eb8ce-2a74-4e56-89a1-227021410142,9,intrusion-set--38863958-a201-4ce1-9dbe-539b0b6804e0,0.5714,False
intrusion-set--e6db1e55-b199-4b6b-8633-989345ee45e0,30,intrusion-set--3ea7add5-5b8f-45d8-b1f1-905d2729d62a,0.775,False
intrusion-set--94873029-f950-4268-9cfd-5032e15cb182,14,intrusion-set--fed4f0a2-4347-4530-b0f5-6dfd49b29172,0.6875,False
intrusion-set--1c3dcf91-b859-4aae-a09c-ae26dc8b6390,14,intrusion-set--4c4a7846-45d5-4761-8eea-725fa989914c,0.8182,False
intrusion-set--a0cb9370-e39b-44d5-9f50-ef78e412b973,16,intrusion-set--56a05d27-4d47-418a-b330-781c5614f202,0.8378,False
intrusion-set--8a831aaa-f3e0-47a3-bed8-a9ced744dd12,12,intrusion-set--38fd6a28-3353-4f2b-bb2b-459fecd5c648,0.7368,False
intrusion-set--fed4f0a2-4347-4530-b0f5-6dfd49b29172,7,intrusion-set--6b9ebeb5-20bf-48b0-afb7-988d769a2f01,0.6,False
intrusion-set--c47f937f-1022-4f42-8525-e7a4779a14cb,5,intrusion-set--62a64fd3-aaf7-4d09-a375-d6f8bb118481,0.5714,False
intrusion-set--0bbdf25b-30ff-4894-a1cd-49260d0dd2d9,44,intrusion-set--18854f55-ac7c-4634-bd9a-352dd07613b7,0.6737,False
intrusion-set--5ce5392a-3a6c-4e07-9df3-9b6a9159ac45,4,intrusion-set--bf668120-e9a6-4017-a014-bfc0f5232656,0.8571,False
intrusion-set--bfc5ddb3-4dfb-4278-8928-020e1b3feddd,9,intrusion-set--38fd6a28-3353-4f2b-bb2b-459fecd5c648,0.6875,False
intrusion-set--62a64fd3-aaf7-4d09-a375-d6f8bb118481,5,intrusion-set--c47f937f-1022-4f42-8525-e7a4779a14cb,0.5714,False
intrusion-set--4283ae19-69c7-4347-a35e-b56f08eb660b,29,intrusion-set--75a07184-a7e5-4222-95a1-a04dbc96a29c,0.7826,False
intrusion-set--6a2e693f-24e5-451a-9f88-b36a108e5662,23,intrusion-set--16ade1aa-0ea1-4bb7-88cc-9079df2ae756,0.75,False
intrusion-set--2a158b0a-7ef8-43cb-9985-bf34d1e12050,14,intrusion-set--03be849d-b5a2-4766-9dda-48976bae5710,0.75,False
intrusion-set--d1acfbb3-647b-4723-9154-800ec119006e,9,intrusion-set--16ade1aa-0ea1-4bb7-88cc-9079df2ae756,0.7647,False
intrusion-set--88489675-d216-4884-a98f-49a89fcc1643,6,intrusion-set--03506554-5f37-4f8f-9ce4-0e9f01a1b484,0.5,False
intrusion-set--38863958-a201-4ce1-9dbe-539b0b6804e0,11,intrusion-set--f40eb8ce-2a74-4e56-89a1-227021410142,0.5714,False
intrusion-set--85403903-15e0-4f9f-9be4-a259ecad4022,11,intrusion-set--ecbf507f-6786-4121-a4cc-0fd6a8d3a29d,0.8065,False
intrusion-set--75a07184-a7e5-4222-95a1-a04dbc96a29c,27,intrusion-set--6eded342-33e5-4451-b6b2-e1c62863129f,0.7568,False
intrusion-set--03be849d-b5a2-4766-9dda-48976bae5710,16,intrusion-set--3fc023b2-c5cc-481d-9c3e-70141ae1a87e,0.6471,False
intrusion-set--fbd29c89-18ba-4c2d-b792-51c0adee049f,31,intrusion-set--269e8108-68c6-4f99-b911-14b2e765dec2,0.6912,False
intrusion-set--88b7dbc2-32d3-4e31-af2f-3fc24e1582d7,21,intrusion-set--8c1f0187-0826-4320-bddc-5f326cfcfe2c,0.806,False
intrusion-set--c77c5576-ca19-42ed-a36f-4b4486a84133,9,intrusion-set--7251b44b-6072-476c-b8d9-a6e32c355b28,0.8667,False
intrusion-set--b2e34388-6938-4c59-a702-80dc219e15e3,5,intrusion-set--4c4a7846-45d5-4761-8eea-725fa989914c,0.7857,False
intrusion-set--1f0f9a14-11aa-49aa-9174-bcd0eaa979de,11,intrusion-set--13ef3485-70d2-4567-b934-0e83c1eafcf1,0.7857,False
intrusion-set--8f5e8dc7-739d-4f5e-a8a1-a66e004d7063,5,intrusion-set--64d5f96a-f121-4d19-89f6-6709f5c49faa,0.8333,False
intrusion-set--9538b1a4-4120-4e2d-bf59-3b11fcab05a4,0,intrusion-set--025bdaa9-897d-4bad-afa6-013ba5734653,0.0,True
intrusion-set--6b9ebeb5-20bf-48b0-afb7-988d769a2f01,7,intrusion-set--fed4f0a2-4347-4530-b0f5-6dfd49b29172,0.6,False
intrusion-set--b74f909f-8e52-4b69-b770-162bf59a1b4e,9,intrusion-set--f8cb7b36-62ef-4488-8a6d-a7033e3271c1,0.75,False
intrusion-set--90784c1e-4aba-40eb-9adf-7556235e6384,13,intrusion-set--9b36c218-4d80-4ec6-a68d-cc2886bbe410,0.7692,False
intrusion-set--38fd6a28-3353-4f2b-bb2b-459fecd5c648,12,intrusion-set--bfc5ddb3-4dfb-4278-8928-020e1b3feddd,0.6875,False
intrusion-set--55033a4d-3ffe-46b2-99b4-2c1541e9ce1c,9,intrusion-set--5f3d0238-d058-44a9-8812-3dd1b6741a8c,0.7692,False
intrusion-set--5636b7b3-d99b-4edd-aa05-ee649c1d4ef1,2,intrusion-set--d519164e-f5fa-4b8c-a1fb-cf0172ad0983,0.8,False
intrusion-set--a653431d-6a5e-4600-8ad3-609b5af57064,10,intrusion-set--b516b235-fc7d-4635-aca5-3d33312339c3,0.7931,False
intrusion-set--c4d50cdf-87ce-407d-86d8-862883485842,9,intrusion-set--f8cb7b36-62ef-4488-8a6d-a7033e3271c1,0.5714,False
intrusion-set--6688d679-ccdb-4f12-abf6-c7545dd767a4,7,intrusion-set--03506554-5f37-4f8f-9ce4-0e9f01a1b484,0.6667,False
intrusion-set--7ecc3b4f-5cdb-457e-b55a-df376b359446,8,intrusion-set--16ade1aa-0ea1-4bb7-88cc-9079df2ae756,0.75,False
intrusion-set--abc5a1d4-f0dc-49d1-88a1-4a80e478bb03,20,intrusion-set--467271fd-47c0-4e90-a3f9-d84f5cf790d0,0.6286,False
intrusion-set--2fd2be6a-d3a2-4a65-b499-05ea2693abee,6,intrusion-set--62a64fd3-aaf7-4d09-a375-d6f8bb118481,0.625,False
